Index;Function Name;Global Minimal;Best Fitness;Number of Evaluations;Closeness to Global Minimal;log
1;Rotated High Conditioned Elliptic Function;100;0.0;0;0.0;
2;Rotated Bent Cigar Function;200;0.0;0;0.0;
3;Rotated Discus Function;300;0.0;0;0.0;
4;Shifted and Rotated Rosenbrock's Function;400;0.0;0;0.0;
5;Shifted and Rotated Ackley's Function;500;500.00030192924106;9233500;0.9999993961418825;[[1, 100, 519.1439151712542, 0.17016714408089229], [2, 200, 518.9737480271733, 1.004577108923968], [3, 300, 517.9691709182493, 10.228515664498047], [4, 400, 507.7406552537513, 1.7674382662203243], [6, 600, 505.973216987531, 0.3077181102426607], [7, 700, 505.6654988772883, 2.4598009864182586], [11, 1100, 503.20569789087006, 0.6191487084860796], [25, 2500, 502.586549182384, 0.03370621056052414], [33, 3300, 502.55284297182345, 1.2277425459869278], [46, 4600, 501.3251004258365, 0.17127698840698713], [51, 5100, 501.15382343742954, 0.9185801015327115], [109, 10900, 500.2352433358968, 0.12500558846704735], [365, 36500, 500.1102377474298, 0.027964213674124494], [384, 38400, 500.08227353375565, 0.02732146954321024], [486, 48600, 500.05495206421244, 0.013023422001140261], [595, 59500, 500.0419286422113, 0.039546447092618564], [5379, 537900, 500.0023821951187, 0.0010989672086907376], [13056, 1305600, 500.00128322791, 0.0006485788151167071], [19023, 1902300, 500.0006346490949, 0.0001039883707107947], [79252, 7925200, 500.00053066072417, 6.722032691186541e-05], [92335, 9233500, 500.00046344039725, 0.0001615111561932281]]
6;Shifted and Rotated Weierstrass Function;600;0.0;0;0.0;
7;Shifted and Rotated Griewank's Function;700;0.0;0;0.0;
8;Shifted Rastrigin's Function;800;0.0;0;0.0;
9;Shifted and Rotated Rastrigin's Function;900;0.0;0;0.0;
10; Shifted Schwefel's Function;1000;0.0;0;0.0;
11; Shifted and Rotated Schwefel's Function;1100;0.0;0;0.0;
12; Shifted and Rotated Katsuura Function;1200;0.0;0;0.0;
13; Shifted and Rotated HappyCat Function;1300;0.0;0;0.0;
14; Shifted and Rotated HGBat Function;1400;0.0;0;0.0;
15; Shifted and Rotated Expanded Griewank's plus Rosenbrock's Function;1500;0.0;0;0.0;
16; Shifted and Rotated Expanded Scaffer's F6 Function;1600;0.0;0;0.0;
17; Hybrid Function 1 (N=3);1700;0.0;0;0.0;
18; Hybrid Function 2 (N=3);1800;0.0;0;0.0;
19; Hybrid Function 3 (N=4);1900;0.0;0;0.0;
20; Hybrid Function 4 (N=4);2000;0.0;0;0.0;
21; Hybrid Function 5 (N=5);2100;0.0;0;0.0;
22; Hybrid Function 6 (N=5);2200;0.0;0;0.0;
23; Composition Function 1 (N=5);2300;0.0;0;0.0;
24; Composition Function 2 (N=3);2400;0.0;0;0.0;
25; Composition Function 3 (N=3);2500;0.0;0;0.0;
26; Composition Function 4 (N=5);2600;0.0;0;0.0;
27; Composition Function 5 (N=5);2700;0.0;0;0.0;
28; Composition Function 6 (N=5);2800;0.0;0;0.0;
29; Composition Function 7 (N=3);2900;0.0;0;0.0;
30; Composition Function 8 (N=3);3000;0.0;0;0.0;
